contrastive_loss,nupdates,value_loss,explained_variance,reconstruct_loss,policy_loss,atten_decoder_loss,policy_entropy,fps,atten_encoder_loss,total_timesteps,ep_len_mean,ep_reward_mean,fps_eval,explained_variance_eval,total_timesteps_eval,ep_len_mean_eval,ep_reward_mean_eval
1.997840404510498,1000,0.025171885266900063,0.0007824897766113281,0.01735943928360939,0.024557385593652725,0.0003391395730432123,1.3838170766830444,253,0.0013624968705698848,1180000,191.66,1.55,,,,,
,,,,,,,,,,,,,372,0.0005551576614379883,1200080,183.58,1.39
1.9964616298675537,1,0.03816918283700943,0.0003940463066101074,0.017377879470586777,0.03169664740562439,0.0003225180844310671,1.3845174312591553,300,0.001414581434801221,1210080,188.95,1.56,,,,,
1.994086742401123,500,0.0017244346672669053,-0.004525303840637207,0.01731926016509533,-0.019491713494062424,0.00038779660826548934,1.3845144510269165,284,0.0023245711345225573,1250000,168.67,1.11,,,,,
1.9995007514953613,1000,0.11172596365213394,0.0005843639373779297,0.01741127483546734,0.12261009216308594,0.000370718480553478,1.383690357208252,281,0.0013516315957531333,1290000,181.19,1.4,,,,,
,,,,,,,,,,,,,413,0.0004125237464904785,1310080,185.05,1.47
1.9953906536102295,1,0.005847553722560406,-0.004295825958251953,0.01718529686331749,-0.03476105257868767,0.0003070902603212744,1.3807846307754517,284,0.0018678855849429965,1320080,197.79,1.75,,,,,
1.9989840984344482,500,0.038687627762556076,0.0005244612693786621,0.017438659444451332,0.029302304610610008,0.00038234307430684566,1.3833001852035522,266,0.0032331773545593023,1360000,181.13,1.3,,,,,
1.9984095096588135,1000,0.04127690568566322,0.00017875432968139648,0.017374638468027115,0.010838115587830544,0.0003643518721219152,1.3813014030456543,265,0.0008897142834030092,1400000,184.64,1.49,,,,,
,,,,,,,,,,,,,363,-0.005117535591125488,1420080,173.21,1.19
1.9963319301605225,1,0.026189347729086876,-0.0037218332290649414,0.017181362956762314,-0.10541032254695892,0.00037390724173747003,1.378151297569275,240,0.0027972382958978415,1430080,192.55,1.73,,,,,
1.9991834163665771,500,0.11950160562992096,0.0,0.017370913177728653,0.1575746387243271,0.00033867094316519797,1.3837424516677856,248,0.0013917413307353854,1470000,189.25,1.5,,,,,
1.9987008571624756,1000,0.03707098960876465,0.0017884373664855957,0.01744413748383522,0.04329634830355644,0.0003252882161177695,1.3813139200210571,252,0.0028300005942583084,1510000,191.65,1.67,,,,,
,,,,,,,,,,,,,446,0.0009503960609436035,1530080,178.28,1.26
1.9947099685668945,1,0.013697110116481781,0.00047534704208374023,0.01726394332945347,0.002119703684002161,0.00038495511398650706,1.3828622102737427,238,0.002314188051968813,1540080,188.61,1.58,,,,,
