value_loss,explained_variance,reconstruct_loss,contrastive_loss,atten_decoder_loss,total_timesteps,policy_loss,fps,atten_encoder_loss,policy_entropy,nupdates,ep_len_mean,ep_reward_mean,total_timesteps_eval,fps_eval,explained_variance_eval,ep_reward_mean_eval,ep_len_mean_eval
0.12113527953624725,0.0018967986106872559,0.017325472086668015,1.9963709115982056,0.014293001964688301,20350080,0.1470714807510376,262,9.863926607067697e-06,1.3838030099868774,1,187.95,1.56,,,,,
0.11366084963083267,0.0005473494529724121,0.01752505451440811,1.9998102188110352,0.014794811606407166,20390000,0.11232320964336395,273,3.6321489460533485e-05,1.3849321603775024,500,173.15,1.19,,,,,
0.07885799556970596,0.0,0.017364278435707092,1.996369481086731,0.021402446553111076,20430000,0.05289657041430473,276,2.9396667741821148e-05,1.385895848274231,1000,177.33,1.24,,,,,
,,,,,,,,,,,,,20450080,466,-0.002253890037536621,1.19,175.66
0.01171195786446333,-0.017566561698913574,0.017441578209400177,2.0013015270233154,0.015753712505102158,20460080,-0.081707663834095,236,9.42956376093207e-06,1.38483464717865,1,183.0,1.44,,,,,
0.0018915159162133932,-0.008155226707458496,0.017441879957914352,1.9995110034942627,0.013789534568786621,20500000,-0.020865287631750107,279,4.678194454754703e-05,1.385894775390625,500,179.27,1.29,,,,,
0.024549389258027077,0.0,0.01714986376464367,1.9942270517349243,0.015751628205180168,20540000,0.030014678835868835,279,0.00013013275747653097,1.3841286897659302,1000,180.39,1.3,,,,,
,,,,,,,,,,,,,20560080,442,0.001656651496887207,1.42,184.57
0.00645857211202383,-0.0064231157302856445,0.017482362687587738,1.9973609447479248,0.019818024709820747,20570080,-0.047680456191301346,271,3.8789254176663235e-05,1.383038878440857,1,186.09,1.48,,,,,
0.0375051312148571,0.0018196702003479004,0.017387645319104195,1.9965360164642334,0.016320187598466873,20610000,0.036955997347831726,282,3.125795774394646e-05,1.383358359336853,500,192.97,1.62,,,,,
0.0021123855840414762,-0.007773995399475098,0.01733878068625927,1.9971652030944824,0.015288963913917542,20650000,-0.021872660145163536,280,9.986230725189671e-05,1.3854091167449951,1000,178.07,1.25,,,,,
,,,,,,,,,,,,,20670080,431,0.00043392181396484375,1.87,201.9
0.0013167144497856498,-0.021364569664001465,0.01730397529900074,1.9949084520339966,0.019330978393554688,20680080,-0.018763532862067223,291,4.4238666305318475e-05,1.386267900466919,1,181.89,1.32,,,,,
0.0021613617427647114,-0.014836668968200684,0.017460549250245094,1.9976637363433838,0.01930966228246689,20720000,-0.024393415078520775,282,1.5714471373939887e-05,1.3823883533477783,500,181.97,1.36,,,,,
0.03154436871409416,-0.0004050731658935547,0.01726793497800827,1.9949218034744263,0.017777618020772934,20760000,-0.01703495718538761,281,2.9299906600499526e-05,1.3835817575454712,1000,184.92,1.45,,,,,
,,,,,,,,,,,,,20780080,416,-0.0005334615707397461,1.8,197.29
0.006636132951825857,-0.009977340698242188,0.01749253086745739,1.9979631900787354,0.016288116574287415,20790080,-0.041083794087171555,258,1.961425914487336e-05,1.3830245733261108,1,186.2,1.46,,,,,
0.04344703629612923,6.395578384399414e-05,0.017234718427062035,1.9965126514434814,0.020861569792032242,20830000,-0.002710779430344701,280,3.31479350279551e-05,1.3795292377471924,500,185.02,1.45,,,,,
0.006533409468829632,-0.01271212100982666,0.017469458281993866,1.9971959590911865,0.01676442287862301,20870000,-0.05010925978422165,280,2.8998283596592955e-05,1.3853175640106201,1000,190.69,1.65,,,,,
,,,,,,,,,,,,,20890080,411,-0.005679011344909668,1.48,183.88
0.04900883510708809,0.0012218952178955078,0.017411837354302406,1.9952919483184814,0.02237899973988533,20900080,0.04965926334261894,270,3.115972504019737e-05,1.3829710483551025,1,176.05,1.27,,,,,
0.02050076052546501,-0.0009856224060058594,0.017203357070684433,1.9962915182113647,0.01991463266313076,20940000,-0.031857602298259735,274,6.685438711429015e-05,1.3848226070404053,500,175.93,1.18,,,,,
0.003383190603926778,-0.01060473918914795,0.017181621864438057,1.9944255352020264,0.020307758823037148,20980000,-0.02917022630572319,275,3.514144191285595e-05,1.3831560611724854,1000,177.85,1.21,,,,,
,,,,,,,,,,,,,21000080,387,-0.0012413263320922852,1.31,178.32
0.015063943341374397,-0.00024902820587158203,0.017386244609951973,1.9964625835418701,0.01933109201490879,21010080,-0.00712908711284399,266,1.5889765563770197e-05,1.3858617544174194,1,189.26,1.61,,,,,
0.006057692226022482,-0.022266745567321777,0.01743905618786812,1.9986380338668823,0.023398879915475845,21050000,-0.058319736272096634,270,1.380122012051288e-05,1.385972261428833,500,180.01,1.3,,,,,
0.06194622442126274,0.00045603513717651367,0.017326394096016884,1.9981861114501953,0.01837262511253357,21090000,0.06447464227676392,270,5.6279714044649154e-05,1.3854206800460815,1000,190.5,1.64,,,,,
,,,,,,,,,,,,,21110080,425,0.0003973245620727539,1.14,172.99
0.00268956390209496,-0.00654149055480957,0.017321471124887466,1.9973630905151367,0.022420449182391167,21120080,-0.02506859041750431,266,2.6603127480484545e-05,1.3851697444915771,1,180.89,1.33,,,,,
0.004625601693987846,-0.002774953842163086,0.01726156659424305,1.9962353706359863,0.021385446190834045,21160000,-0.03731025755405426,274,4.9787562602432445e-05,1.3860397338867188,500,184.93,1.43,,,,,
0.008365471847355366,-0.0158841609954834,0.01748771406710148,2.000455379486084,0.01481900829821825,21200000,-0.06614679843187332,275,2.43929371208651e-05,1.3828531503677368,1000,180.01,1.28,,,,,
,,,,,,,,,,,,,21220080,497,-0.6664223670959473,1.25,176.23
0.0006412103539332747,-0.02685403823852539,0.01745203509926796,1.9982895851135254,0.015823742374777794,21230080,-0.01215632539242506,237,1.560958116897382e-05,1.3808976411819458,1,171.65,1.11,,,,,
0.040080975741147995,0.00040405988693237305,0.017181944102048874,1.996387004852295,0.01837124116718769,21270000,0.013401257805526257,282,6.824859156040475e-05,1.3842427730560303,500,179.45,1.33,,,,,
0.02445312961935997,0.0,0.017483070492744446,1.9968202114105225,0.017344621941447258,21310000,0.028318723663687706,282,2.7551635866984725e-05,1.3850140571594238,1000,190.3,1.59,,,,,
,,,,,,,,,,,,,21330080,397,-0.01384425163269043,1.52,187.09
0.0637747272849083,0.0009434223175048828,0.017265599220991135,1.9952378273010254,0.01627400889992714,21340080,0.04544852301478386,240,4.3553223804337904e-05,1.3837016820907593,1,184.29,1.45,,,,,
0.005998593755066395,-0.009652256965637207,0.01727273315191269,1.9930505752563477,0.014813736081123352,21380000,-0.04600266367197037,278,1.6635820429655723e-05,1.38373601436615,500,173.36,1.18,,,,,
