fps,policy_entropy,value_loss,atten_encoder_loss,reconstruct_loss,nupdates,total_timesteps,policy_loss,contrastive_loss,atten_decoder_loss,explained_variance,ep_len_mean,ep_reward_mean,fps_eval,total_timesteps_eval,explained_variance_eval,ep_reward_mean_eval,ep_len_mean_eval
197,1.3847285509109497,0.004316167440265417,0.00023457303177565336,0.017308490350842476,500,2460000,-0.034204088151454926,1.995798110961914,0.030827533453702927,-0.018818974494934082,177.47,1.27,,,,,
199,1.384521484375,0.07477092742919922,0.00022557098418474197,0.017335064709186554,1000,2500000,0.06887376308441162,1.9938158988952637,0.029432296752929688,0.0009697079658508301,185.71,1.51,,,,,
,,,,,,,,,,,,,383,2520080,-0.018756866455078125,1.03,167.3
233,1.3862483501434326,5.91994721617084e-05,0.013428928330540657,0.017278574407100677,1,2530080,-0.00831955298781395,1.9742966890335083,0.023439258337020874,-0.607223629951477,181.33,1.36,,,,,
221,1.3855116367340088,0.05060337111353874,8.772635192144662e-05,0.017506994307041168,500,2570000,0.036840297281742096,2.000042200088501,0.033225804567337036,0.0013060569763183594,170.86,1.1,,,,,
222,1.3843766450881958,2.291405326104723e-05,7.929988350952044e-05,0.017368165776133537,1000,2610000,-0.005558092147111893,1.9967814683914185,0.03449193015694618,-0.4728480577468872,187.91,1.53,,,,,
,,,,,,,,,,,,,311,2630080,0.00015723705291748047,1.09,171.0
216,1.383041501045227,0.005197532009333372,9.18951045605354e-05,0.017385313287377357,1,2640080,-0.03507404401898384,1.9976921081542969,0.02719380334019661,-0.01297008991241455,187.69,1.52,,,,,
222,1.3834724426269531,0.0020942778792232275,0.0006070162053219974,0.017240365967154503,500,2680000,-0.02123524807393551,1.9934146404266357,0.03534940630197525,-0.0156785249710083,179.85,1.33,,,,,
228,1.382345199584961,0.0007827553781680763,7.118140638340265e-05,0.01737782545387745,1000,2720000,-0.013879744336009026,1.9982552528381348,0.03305217996239662,-0.020362138748168945,187.21,1.5,,,,,
,,,,,,,,,,,,,259,2740080,-0.019069671630859375,1.4,185.81
186,1.3838608264923096,0.0012141442857682705,7.982800161698833e-05,0.017442621290683746,1,2750080,-0.016611451283097267,1.9969443082809448,0.027621548622846603,-0.018326759338378906,181.3,1.31,,,,,
200,1.3853743076324463,0.12210211902856827,4.9064430641010404e-05,0.017383497208356857,500,2790000,0.15243564546108246,1.9991015195846558,0.02843795344233513,0.0017952322959899902,178.58,1.23,,,,,
198,1.384583830833435,0.028964867815375328,6.188455154187977e-05,0.017535442486405373,1000,2830000,-0.008888227865099907,1.999056339263916,0.0338512547314167,-0.000244140625,180.63,1.31,,,,,
,,,,,,,,,,,,,363,2850080,3.516674041748047e-06,1.47,186.02
250,1.3846054077148438,0.049183882772922516,0.0001228158944286406,0.017247948795557022,1,2860080,0.05174883455038071,1.9973864555358887,0.024840116500854492,0.0011842846870422363,177.63,1.35,,,,,
222,1.383073091506958,0.0023731295950710773,8.82935564732179e-05,0.017492029815912247,500,2900000,-0.023878971114754677,1.9996367692947388,0.03237812593579292,-0.0018482208251953125,184.26,1.46,,,,,
224,1.3830814361572266,0.002356652868911624,0.0,0.017033619806170464,1000,2940000,-0.023213757202029228,1.9954771995544434,0.03079332411289215,-0.004895329475402832,185.44,1.44,,,,,
,,,,,,,,,,,,,364,2960080,0.001484513282775879,1.5,184.5
219,1.385409951210022,0.00211782893165946,0.0001205306252813898,0.017305877059698105,1,2970080,-0.025558477267622948,2.00046706199646,0.030137216672301292,-0.00853419303894043,183.41,1.4,,,,,
210,1.3855949640274048,0.004789652768522501,2.351864350202959e-05,0.017359793186187744,500,3010000,-0.03491213917732239,1.998579740524292,0.027676478028297424,-0.012598633766174316,183.74,1.43,,,,,
211,1.384745717048645,0.004786888603121042,9.538485028315336e-05,0.017542289569973946,1000,3050000,-0.035242654383182526,1.998311996459961,0.0331878662109375,-0.006272435188293457,189.51,1.57,,,,,
,,,,,,,,,,,,,433,3070080,0.000913083553314209,1.64,189.04
220,1.3847202062606812,0.007490706630051136,5.942049392615445e-05,0.017389046028256416,1,3080080,-0.06489292532205582,1.998497724533081,0.03692956268787384,-0.009796500205993652,186.52,1.5,,,,,
215,1.3842766284942627,0.02547127939760685,8.83396714925766e-05,0.017419669777154922,500,3120000,0.022284429520368576,1.9999313354492188,0.036450453102588654,0.0017889142036437988,178.83,1.31,,,,,
