explained_variance,atten_decoder_loss,atten_encoder_loss,contrastive_loss,value_loss,policy_entropy,fps,nupdates,policy_loss,total_timesteps,reconstruct_loss,ep_reward_mean,ep_len_mean,total_timesteps_eval,explained_variance_eval,fps_eval,ep_reward_mean_eval,ep_len_mean_eval
-0.019718408584594727,0.0396859385073185,0.03293842822313309,1.972144365310669,0.0054979464039206505,1.374403953552246,222,1000,-0.03578225523233414,850000,0.017482589930295944,1.23,174.08,,,,,
,,,,,,,,,,,,,870080,0.0032619833946228027,308,1.21,173.83
-0.04512786865234375,0.04688791185617447,0.026560528203845024,1.952627182006836,0.007559989579021931,1.385772705078125,217,1,-0.05871962755918503,880080,0.01751413755118847,1.43,184.11,,,,,
0.11308908462524414,0.04768311232328415,0.02709881402552128,1.9725937843322754,0.005744543857872486,1.3845537900924683,238,500,-0.015417210757732391,920000,0.017383232712745667,1.14,173.09,,,,,
0.2965020537376404,0.04377460107207298,0.028868207708001137,1.9667285680770874,0.004177405033260584,1.384613275527954,241,1000,-0.021459857001900673,960000,0.017446789890527725,1.12,171.4,,,,,
,,,,,,,,,,,,,980080,0.23181718587875366,423,1.22,175.75
0.4797549247741699,0.04740238934755325,0.02927301824092865,1.9926786422729492,0.00020326250523794442,1.3828198909759521,218,1,-0.006673351861536503,990080,0.017438102513551712,1.19,174.57,,,,,
0.022584617137908936,0.06880488991737366,0.0252139400690794,1.9418448209762573,0.08212926983833313,1.374932885169983,225,500,-0.00625563133507967,1030000,0.017223678529262543,1.26,178.09,,,,,
-0.04518008232116699,0.04736870154738426,0.0279997531324625,1.9786072969436646,0.01136904675513506,1.381664514541626,213,1000,-0.05576647073030472,1070000,0.017475681379437447,1.14,169.0,,,,,
,,,,,,,,,,,,,1090080,0.6711874604225159,301,1.41,183.34
0.12917888164520264,0.04573908820748329,0.029681796208024025,1.9385383129119873,0.0033704997040331364,1.3816277980804443,238,1,-0.03593312203884125,1100080,0.016985205933451653,1.24,175.62,,,,,
0.45283979177474976,0.0536571629345417,0.02837911807000637,1.9529821872711182,0.020371176302433014,1.3808256387710571,219,500,0.04192211478948593,1140000,0.017277883365750313,1.3,178.69,,,,,
0.475394070148468,0.05616295337677002,0.029413653537631035,1.9367711544036865,0.022740010172128677,1.3793466091156006,217,1000,0.050587259232997894,1180000,0.017229128628969193,1.24,171.56,,,,,
,,,,,,,,,,,,,1200080,0.8014498353004456,349,1.31,179.29
0.649965763092041,0.058688659220933914,0.028463153168559074,1.9204721450805664,0.022350627928972244,1.3780003786087036,298,1,0.02989715337753296,1210080,0.017165925353765488,1.33,180.64,,,,,
0.5552324652671814,0.046509623527526855,0.03168792277574539,1.9578497409820557,0.053018517792224884,1.3787167072296143,240,500,0.01896328665316105,1250000,0.017399853095412254,1.13,171.83,,,,,
-0.8410037755966187,0.05063147097826004,0.02988108992576599,1.9387586116790771,0.022097816690802574,1.3831064701080322,235,1000,-0.07922867685556412,1290000,0.01721775345504284,1.67,196.04,,,,,
,,,,,,,,,,,,,1310080,0.6962892413139343,330,1.35,179.57
0.8059704601764679,0.050721652805805206,0.027522651478648186,1.9500739574432373,0.0031721950508654118,1.3850854635238647,260,1,0.011363143101334572,1320080,0.017213109880685806,1.3,180.14,,,,,
0.7380830645561218,0.06945579499006271,0.028260676190257072,1.956464409828186,0.02686009183526039,1.3855459690093994,233,500,-0.03765163570642471,1360000,0.017298806458711624,1.27,176.83,,,,,
0.0013353824615478516,0.06472286581993103,0.026695672422647476,1.946770429611206,0.004445863887667656,1.3833134174346924,231,1000,-0.029184818267822266,1400000,0.01721140556037426,1.13,173.06,,,,,
,,,,,,,,,,,,,1420080,0.14816099405288696,421,1.1,170.95
0.3845558166503906,0.06185054033994675,0.026110131293535233,1.9528565406799316,0.067795529961586,1.3854458332061768,198,1,0.03465632349252701,1430080,0.017328787595033646,1.28,179.3,,,,,
0.3507291078567505,0.0644712969660759,0.025055816397070885,1.944101095199585,0.002177454996854067,1.38230299949646,217,500,-0.0051777600310742855,1470000,0.017476612702012062,1.52,187.61,,,,,
0.8755393475294113,0.07235445082187653,0.02447172813117504,1.9469666481018066,0.013010948896408081,1.3775899410247803,216,1000,-0.015086852014064789,1510000,0.01710348390042782,1.67,194.49,,,,,
,,,,,,,,,,,,,1530080,0.8063799887895584,369,1.51,188.81
0.8588691800832748,0.07146269083023071,0.025161636993288994,1.9339840412139893,0.027869272977113724,1.3796309232711792,171,1,0.0035107298754155636,1540080,0.017424967139959335,1.73,194.97,,,,,
0.8028386682271957,0.07501059025526047,0.02593887411057949,1.9100229740142822,0.01872403547167778,1.3770160675048828,219,500,-0.00805746577680111,1580000,0.017338618636131287,1.74,194.89,,,,,
0.9708114862442017,0.08274002373218536,0.024302979931235313,1.955998182296753,0.002524405485019088,1.362725019454956,221,1000,-0.003407557960599661,1620000,0.017100762575864792,1.62,191.43,,,,,
,,,,,,,,,,,,,1640080,0.2929989695549011,361,1.86,201.19
0.7883376777172089,0.0682215467095375,0.02469816617667675,1.9118962287902832,0.019343407824635506,1.3611716032028198,275,1,0.04436676204204559,1650080,0.01729595847427845,1.57,192.92,,,,,
0.7306763529777527,0.07967258989810944,0.025653904303908348,1.9762845039367676,0.056173913180828094,1.3575446605682373,241,500,-0.055020205676555634,1690000,0.01734265498816967,2.16,206.35,,,,,
0.7890919744968414,0.06152468919754028,0.025815695524215698,1.8995001316070557,0.01796385832130909,1.3543261289596558,243,1000,0.022795217111706734,1730000,0.017421072348952293,1.55,186.33,,,,,
,,,,,,,,,,,,,1750080,0.6679858267307281,347,1.85,196.55
0.8825643733143806,0.07692724466323853,0.02630956470966339,1.9571330547332764,0.017533261328935623,1.3459688425064087,232,1,0.04545113816857338,1760080,0.017529699951410294,1.91,200.94,,,,,
0.9035503566265106,0.07757417857646942,0.025992536917328835,1.870234489440918,0.010563545860350132,1.336147665977478,223,500,-0.032552458345890045,1800000,0.01728382334113121,1.81,195.89,,,,,
0.7997973561286926,0.08931314945220947,0.02614760957658291,1.9662351608276367,0.010664165019989014,1.3398065567016602,224,1000,-0.03584936633706093,1840000,0.017415247857570648,1.6,188.17,,,,,
,,,,,,,,,,,,,1860080,0.7485426366329193,328,1.93,201.19
0.9766047559678555,0.11253843456506729,0.026349276304244995,1.9397127628326416,0.006432606838643551,1.3437076807022095,202,1,0.019616305828094482,1870080,0.01733422838151455,1.44,183.78,,,,,
0.9729447867721319,0.09125952422618866,0.026272881776094437,1.9173638820648193,0.0041464888490736485,1.3450615406036377,232,500,-0.0038235492538660765,1910000,0.01724337227642536,2.27,216.22,,,,,
0.916003942489624,0.09998070448637009,0.025909308344125748,1.89362370967865,0.014418909326195717,1.340238332748413,228,1000,0.03097311034798622,1950000,0.01725347526371479,2.13,210.72,,,,,
,,,,,,,,,,,,,1970080,0.8899021819233894,367,1.59,189.79
0.9747817441821098,0.11376810073852539,0.025802362710237503,1.9574042558670044,0.002077002776786685,1.3354548215866089,240,1,0.017503155395388603,1980080,0.01723678968846798,1.85,196.67,,,,,
0.9183494374155998,0.09438299387693405,0.025513464584946632,1.9919872283935547,0.01851033605635166,1.34048593044281,222,500,-0.061793576925992966,2020000,0.01739300973713398,1.84,200.95,,,,,
0.836932823061943,0.1053076982498169,0.02578558959066868,2.1400461196899414,0.03952226787805557,1.3419736623764038,219,1000,0.05823298543691635,2060000,0.017506511881947517,2.01,208.58,,,,,
,,,,,,,,,,,,,2080080,0.8535454869270325,414,1.46,182.12
0.9419080577790737,0.08729711920022964,0.025851493701338768,1.9474835395812988,0.01382923312485218,1.3432703018188477,291,1,-0.03749846667051315,2090080,0.01730273850262165,2.12,203.68,,,,,
0.916486993432045,0.09579851478338242,0.026078155264258385,1.9091670513153076,0.02776006981730461,1.3460657596588135,226,500,-0.04595682770013809,2130000,0.017451327294111252,1.92,203.34,,,,,
0.9620871096849442,0.09296927601099014,0.025706937536597252,2.0844922065734863,0.004965813830494881,1.342982530593872,225,1000,0.009715556167066097,2170000,0.017322484403848648,1.66,189.14,,,,,
,,,,,,,,,,,,,2190080,0.8940102830529213,393,1.77,195.74
0.9378025904297829,0.12904921174049377,0.02601214125752449,1.977799654006958,0.007539946585893631,1.3529188632965088,217,1,-0.005828374996781349,2200080,0.017178330570459366,2.19,210.79,,,,,
0.9383493177592754,0.09829257428646088,0.025366833433508873,1.9723559617996216,0.01285658497363329,1.3359739780426025,239,500,0.013330879621207714,2240000,0.017262045294046402,2.08,208.9,,,,,
0.9645244963467121,0.09070052206516266,0.02548244595527649,2.055821657180786,0.007037303410470486,1.339005470275879,224,1000,-0.01868753507733345,2280000,0.01749906688928604,1.78,196.8,,,,,
,,,,,,,,,,,,,2300080,0.8196881711483002,439,2.27,215.21
0.9541647769510746,0.08858694136142731,0.02550513856112957,2.0174942016601562,0.006507146172225475,1.3368194103240967,208,1,0.005092603154480457,2310080,0.017344588413834572,1.5,186.93,,,,,
0.8960380703210831,0.11825195699930191,0.025162115693092346,1.9408655166625977,0.02332151308655739,1.332247018814087,213,500,-0.02081345207989216,2350000,0.01739257015287876,1.51,184.15,,,,,
0.9832077771425247,0.10700671374797821,0.025913579389452934,1.9509806632995605,0.006265686359256506,1.344942569732666,219,1000,-0.04204288870096207,2390000,0.01743551902472973,1.96,206.49,,,,,
,,,,,,,,,,,,,2410080,0.8154197484254837,355,2.04,203.9
0.9695552308112383,0.08350718021392822,0.02578607201576233,2.053382396697998,0.006043901201337576,1.3486016988754272,229,1,0.028614189475774765,2420080,0.01744137890636921,2.07,207.28,,,,,
0.9913734206929803,0.10368342697620392,0.026281554251909256,2.0495059490203857,0.001670978614129126,1.3569421768188477,198,500,0.027123551815748215,2460000,0.01731260120868683,1.7,190.53,,,,,
0.9377477504312992,0.07775570452213287,0.026334527879953384,2.0172386169433594,0.007664626929908991,1.356255292892456,199,1000,-0.006928378250449896,2500000,0.01728186383843422,2.2,206.62,,,,,
,,,,,,,,,,,,,2520080,0.8344756066799164,266,1.67,191.36
0.9817584026604891,0.10010962188243866,0.025626331567764282,1.9999561309814453,0.005364352837204933,1.3489176034927368,229,1,0.0013120624935254455,2530080,0.017530284821987152,1.85,197.26,,,,,
0.9815377984195948,0.10067161172628403,0.026404032483696938,2.012763023376465,0.005857599433511496,1.328433871269226,221,500,0.012804202735424042,2570000,0.01751154661178589,2.2,214.28,,,,,
0.9888453157618642,0.07839634269475937,0.026951679959893227,2.0563673973083496,0.0025056765880435705,1.3441823720932007,224,1000,0.0022277850657701492,2610000,0.017545532435178757,2.41,217.84,,,,,
,,,,,,,,,,,,,2630080,0.9469660371541977,361,1.66,190.71
0.976855231449008,0.08074206113815308,0.026241088286042213,1.872241497039795,0.010338513180613518,1.3395864963531494,230,1,0.06409958004951477,2640080,0.017287027090787888,1.8,195.89,,,,,
0.9849537974223495,0.09286759048700333,0.025609169155359268,1.9741334915161133,0.0059532346203923225,1.3412282466888428,223,500,-0.04620342701673508,2680000,0.017429815605282784,1.82,195.22,,,,,
0.9240827709436417,0.10566540062427521,0.02568380907177925,2.046827554702759,0.02197101339697838,1.3287676572799683,227,1000,0.06108313798904419,2720000,0.01748482696712017,2.37,217.75,,,,,
,,,,,,,,,,,,,2740080,0.962736003100872,321,1.92,202.37
0.9836962185800076,0.09519059956073761,0.026033926755189896,1.8438200950622559,0.0029919869266450405,1.3377920389175415,193,1,-0.007816423662006855,2750080,0.017154525965452194,2.21,214.48,,,,,
0.9905940433964133,0.09746873378753662,0.026441095396876335,2.007546901702881,0.0015148111851885915,1.3397798538208008,201,500,0.005942861549556255,2790000,0.01749737560749054,0.95,164.78,,,,,
0.9612456038594246,0.11609061062335968,0.025889858603477478,1.9177522659301758,0.0049989535473287106,1.333284616470337,200,1000,-0.04116544499993324,2830000,0.017272451892495155,2.28,215.72,,,,,
,,,,,,,,,,,,,2850080,0.6065781712532043,286,2.24,219.62
0.9565924480557442,0.09784643352031708,0.02637161687016487,1.977579116821289,0.014041448011994362,1.3499815464019775,197,1,0.025921761989593506,2860080,0.017427098006010056,2.16,209.02,,,,,
0.9917794661596417,0.10367264598608017,0.026823265478014946,1.934129238128662,0.0025598411448299885,1.3493130207061768,218,500,0.008265616372227669,2900000,0.016969891265034676,2.16,210.14,,,,,
0.9800055976957083,0.10764750093221664,0.026323651894927025,1.9158542156219482,0.0042502256110310555,1.3555325269699097,226,1000,0.021478360518813133,2940000,0.01718168333172798,1.82,199.4,,,,,
,,,,,,,,,,,,,2960080,0.8868742734193802,268,2.13,210.7
0.9818596076220274,0.0974620133638382,0.026704106479883194,1.8866808414459229,0.002118505071848631,1.3476792573928833,222,1,-0.021046582609415054,2970080,0.017243508249521255,2.34,215.75,,,,,
0.9923599292524159,0.11545194685459137,0.025974972173571587,2.082645893096924,0.0020245667546987534,1.348139762878418,215,500,0.009654449298977852,3010000,0.01752454973757267,2.29,212.94,,,,,
